document_id,source_url,url_basename,entity_class_raw,title
md_13271,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF,380MD14012026DAD56B73DC944F02AEA4530EC779AD7F.PDF,Consumer Education and Protection,"Reserve Bank of India (Commercial Banks - Internal Ombudsman) Directions, 2026"
md_13272,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/381MD140120267212A1D4EF8349448E9416EF8F2D19B5.PDF,381MD140120267212A1D4EF8349448E9416EF8F2D19B5.PDF,Consumer Education and Protection,"Reserve Bank of India (Small Finance Banks - Internal Ombudsman) Directions, 2026"
md_13273,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT3821EAEF90E037B4061A91775A5525510C3.PDF,NOT3821EAEF90E037B4061A91775A5525510C3.PDF,Consumer Education and Protection,"Reserve Bank of India (Payments Banks - Internal Ombudsman) Directions, 2026"
md_13274,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/383MD14012026559E41DD96224880B75EDB2B96E4BD8B.PDF,383MD14012026559E41DD96224880B75EDB2B96E4BD8B.PDF,Consumer Education and Protection,"Reserve Bank of India (Non-Banking Financial Companies - Internal Ombudsman) Directions, 2026"
md_13275,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/384MD14012026E275757688DE4E68AF9813B3B9491E4B.PDF,384MD14012026E275757688DE4E68AF9813B3B9491E4B.PDF,Consumer Education and Protection,"Reserve Bank of India (Non-Bank Prepaid Payment Instruments Issuers - Internal Ombudsman) Directions, 2026"
md_13276,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT38578CF3B232A694DBEAB2A9CE71848DCA1.PDF,NOT38578CF3B232A694DBEAB2A9CE71848DCA1.PDF,Consumer Education and Protection,"Reserve Bank of India (Credit Information Companies - Internal Ombudsman) Directions, 2026"
md_13319,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/387MD1003202698CBFA3D29254532B33C97C231B6F7D8.PDF,387MD1003202698CBFA3D29254532B33C97C231B6F7D8.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks – Prudential Norms on Declaration of Dividend and Remittances of Profits) Directions, 2026"
md_13321,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/388MD10032026C9C28BA2FD904454A24EE40607D82CC7.PDF,388MD10032026C9C28BA2FD904454A24EE40607D82CC7.PDF,Payments Banks,"Reserve Bank of India (Payments Banks – Prudential Norms on Declaration of Dividend) Directions, 2026"
md_13328,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/391MD10032026DEA2C866625C478D9F4CC695FCA60B68.PDF,391MD10032026DEA2C866625C478D9F4CC695FCA60B68.PDF,Small Finance Banks,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Declaration of Dividend) Directions, 2026"
md_13399,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/397MD7DCC951F9F014A738C60E0FBC1A73D70.PDF,397MD7DCC951F9F014A738C60E0FBC1A73D70.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Capital Charge for Credit Risk – Standardised Approach) Directions, 2026 (Effective from April 1, 2027)"
md_13400,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD39857992A3DBE7946619F0F76DF81E472CF.PDF,MD39857992A3DBE7946619F0F76DF81E472CF.PDF,Commercial Banks,"Reserve Bank of India (Commercial Banks - Asset Classification, Provisioning and Income Recognition) Directions, 2026"
md_13442,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/399MDAD236E83FDD240EEB29F1F5E2DBAD333.PDF,399MDAD236E83FDD240EEB29F1F5E2DBAD333.PDF,Banker to Governments and Banks,"Reserve Bank of India [Disbursement of Government Pension by Agency Banks (ABs)] Directions, 2026 (Updated as on June 24, 2026)"
md_13443,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/400MDEF6FB735DC5A48308F688DCB9BA11A65.PDF,400MDEF6FB735DC5A48308F688DCB9BA11A65.PDF,Banker to Governments and Banks,"Reserve Bank of India [Conduct of Government Business by Agency Banks (ABs) – Payment of Agency Commission and Oversight of ABs] Directions, 2026"
