entity_class,subject_family,subject_family_raw,document_id,source_url,title,category_heading
Commercial Banks,Managing Risks in Outsourcing,Managing Risks in Outsourcing,md_13139,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/171MD.PDF,"Reserve Bank of India (Commercial Banks – Managing Risks in Outsourcing) Directions, 2025",Commercial Banks
Commercial Banks,Responsible Business Conduct,Responsible Business Conduct,md_13140,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/170MD.PDF,"Reserve Bank of India (Commercial Banks – Responsible Business Conduct) Directions, 2025 (Updated as on July 1, 2026)",Commercial Banks
Commercial Banks,Know Your Customer,Know Your Customer,md_13141,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/169MD.PDF,"Reserve Bank of India (Commercial Banks – Know Your Customer) Directions, 2025 (Updated as on December 29, 2025)",Commercial Banks
Commercial Banks,Financial Statements: Presentation and Disclosures,Financial Statements: Presentation and Disclosures,md_13143,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/167MD.PDF,"Reserve Bank of India (Commercial Banks - Financial Statements: Presentation and Disclosures) Directions, 2025 (Updated as on July 01, 2026)",Commercial Banks
Commercial Banks,Treatment of Wilful Defaulters and Large Defaulters,Treatment of Wilful Defaulters and Large Defaulters,md_13144,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/166MD.PDF,"Reserve Bank of India (Commercial Banks – Treatment of Wilful Defaulters and Large Defaulters) Directions, 2025",Commercial Banks
Commercial Banks,Resolution of Stressed Assets,Resolution of Stressed Assets,md_13145,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/165MD.PDF,"Reserve Bank of India (Commercial Banks – Resolution of Stressed Assets) Directions, 2025 (updated as on July 01, 2026)",Commercial Banks
Commercial Banks,"Income Recognition, Asset Classification and Provisioning","Income Recognition, Asset Classification and Provisioning",md_13146,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/164MD.PDF,"Reserve Bank of India (Commercial Banks – Income Recognition, Asset Classification and Provisioning) Directions, 2025 (updated as on July 01, 2026)",Commercial Banks
Commercial Banks,Asset Liability Management,Asset Liability Management,md_13147,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/163MD.PDF,"Reserve Bank of India (Commercial Banks – Asset Liability Management) Directions, 2025",Commercial Banks
Commercial Banks,"Classification, Valuation and Operation of Investment Portfolio","Classification, Valuation and Operation of Investment Portfolio",md_13148,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/162MD.PDF,"Reserve Bank of India (Commercial Banks – Classification, Valuation and Operation of Investment Portfolio) Directions, 2025 (Updated as on May 18, 2026)",Commercial Banks
Commercial Banks,Interest Rates on Advances,Interest Rates on Advances,md_13149,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/161MD.PDF,"Reserve Bank of India (Commercial Banks – Interest Rates on Advances) Directions, 2025",Commercial Banks
Commercial Banks,Securitisation Transactions,Securitisation Transactions,md_13150,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/160MD.PDF,"Reserve Bank of India (Commercial Banks – Securitisation Transactions) Directions, 2025",Commercial Banks
Commercial Banks,Transfer and Distribution of Credit Risk,Transfer and Distribution of Credit Risk,md_13151,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/159MD.PDF,"Reserve Bank of India (Commercial Banks - Transfer and Distribution of Credit Risk) Directions, 2025",Commercial Banks
Commercial Banks,Concentration Risk Management,Concentration Risk Management,md_13152,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/158MD.PDF,"Reserve Bank of India (Commercial Banks – Concentration Risk Management) Directions, 2025 (Updated as on July 01, 2026)",Commercial Banks
Commercial Banks,Credit Risk Management,Credit Risk Management,md_13153,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/157MD.PDF,"Reserve Bank of India (Commercial Banks – Credit Risk Management) Directions, 2025 (Updated as on July 01, 2026)",Commercial Banks
Commercial Banks,Credit Information Reporting,Credit Information Reporting,md_13154,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/156MD.PDF,"Reserve Bank of India (Commercial Banks – Credit Information Reporting) Directions, 2025 (Updated as on July 01, 2026)",Commercial Banks
Commercial Banks,Credit Cards and Debit Cards: Issuance and Conduct,Credit Cards and Debit Cards: Issuance and Conduct,md_13155,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/155MD.PDF,"Reserve Bank of India (Commercial Banks – Credit Cards and Debit Cards: Issuance and Conduct) Directions, 2025",Commercial Banks
Commercial Banks,Credit Facilities,Credit Facilities,md_13156,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/154MD.PDF,"Reserve Bank of India (Commercial Banks – Credit Facilities) Directions, 2025 (Updated as on July 15, 2026)",Commercial Banks
Commercial Banks,Interest Rate on Deposits,Interest Rate on Deposits,md_13157,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/153MD.PDF,"Reserve Bank of India (Commercial Banks – Interest Rate on Deposits) Directions, 2025 (Updated as on June 17, 2026)",Commercial Banks
Commercial Banks,Resource Raising Norms,Resource Raising Norms,md_13158,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/152MD.PDF,"Reserve Bank of India (Commercial Banks – Resource Raising Norms) Directions, 2025",Commercial Banks
Commercial Banks,Prudential Norms on Capital Adequacy,Prudential Norms on Capital Adequacy,md_13159,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/151MD.PDF,"Reserve Bank of India (Commercial Banks - Prudential Norms on Capital Adequacy) Directions, 2025 (Updated as on July 01, 2026)",Commercial Banks
Commercial Banks,Cash Reserve Ratio and Statutory Liquidity Ratio,Cash Reserve Ratio and Statutory Liquidity Ratio,md_13160,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/150MD.PDF,"Reserve Bank of India (Commercial Banks – Cash Reserve Ratio and Statutory Liquidity Ratio) Directions, 2025 (Updated as on June 19, 2026)",Commercial Banks
Commercial Banks,Governance,Governance,md_13161,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/149MD.PDF,"Reserve Bank of India (Commercial Banks - Governance) Directions, 2025",Commercial Banks
Commercial Banks,Undertaking of Financial Services,Undertaking of Financial Services,md_13162,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/148MD.PDF,"Reserve Bank of India (Commercial Banks – Undertaking of Financial Services) Directions, 2025 (Updated as on July 01, 2026)",Commercial Banks
Commercial Banks,Digital Banking Channels Authorisation,Digital Banking Channels Authorisation,md_13163,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/380MD.PDF,"Reserve Bank of India (Commercial Banks – Digital Banking Channels Authorisation) Directions, 2025",Commercial Banks
Commercial Banks,Branch Authorisation,Branch Authorisation,md_13164,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/147MD.PDF,"Reserve Bank of India (Commercial Banks - Branch Authorisation) Directions, 2025",Commercial Banks
Commercial Banks,Voluntary Amalgamation,Voluntary Amalgamation,md_13165,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/146MD.PDF,"Reserve Bank of India (Commercial Banks – Voluntary Amalgamation) Directions, 2025",Commercial Banks
Commercial Banks,Acquisition and Holding of Shares or Voting Rights,Acquisition and Holding of Shares or Voting Rights,md_13166,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/145MD.PDF,"Reserve Bank of India (Commercial Banks – Acquisition and Holding of Shares or Voting Rights) Directions, 2025",Commercial Banks
Commercial Banks,(Setting Up of Wholly Owned Subsidiaries by Foreign Banks),(Setting Up of Wholly Owned Subsidiaries by Foreign Banks),md_13167,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/144MD.PDF,"Reserve Bank of India (Setting Up of Wholly Owned Subsidiaries by Foreign Banks) Guidelines, 2025 (Updated as on April 1, 2026)",Commercial Banks
Universal Banks,Licensing,Licensing,md_13168,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/143MD.PDF,"Reserve Bank of India (Universal Banks – Licensing) Guidelines, 2025",Commercial Banks
Small Finance Banks,Prudential Norms on Declaration of Dividend,Prudential Norms on Declaration of Dividend,md_13328,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/391MD10032026DEA2C866625C478D9F4CC695FCA60B68.PDF,"Reserve Bank of India (Small Finance Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",Small Finance Banks
Small Finance Banks,Miscellaneous,Miscellaneous,md_13105,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/204MD.PDF,"Reserve Bank of India (Small Finance Banks – Miscellaneous) Directions, 2025",Small Finance Banks
Small Finance Banks,Climate Finance and Management of Climate Change Risks,Climate Finance and Management of Climate Change Risks,md_13106,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/203MD.PDF,"Reserve Bank of India (Small Finance Banks – Climate Finance and Management of Climate Change Risks) Directions, 2025",Small Finance Banks
